Model,Count,Year,Month,ID,Mærke,Producent,Producent_nationalitet,Drivmiddel,CO2_Type,Segment
Mercedes-Benz GLE,293.0,2023,FY,1144.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Personbil
Skoda Karoq,292.0,2023,FY,1094.0,Skoda,Volkswagen Group,Tyskland,Benzin,Fossil,SUV/Crossover
Fisker Ocean,290.0,2023,FY,1233.0,Fisker,Fisker Inc.,USA,El,Nul-emission,Personbil
MG EHS,283.0,2023,FY,1316.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
BMW X3,281.0,2023,FY,1141.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
Mazda 3,279.0,2023,FY,1154.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Mercedes-Benz EQE SUV,269.0,2023,FY,1110.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,SUV/Crossover
Hyundai Bayon,268.0,2023,FY,1151.0,Hyundai,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Peugeot 308,267.0,2023,FY,1206.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
BMW 2'er,263.0,2023,FY,1223.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Peugeot 3008,261.0,2023,FY,1036.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Maxus Euniq6,247.0,2023,FY,1167.0,Maxus,SAIC Motor (Maxus),Kina,Benzin,Fossil,SUV/Crossover
Volkswagen up!,237.0,2023,FY,1445.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Ford Puma,228.0,2023,FY,1054.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Personbil
DS 4,227.0,2023,FY,1299.0,DS,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Kia XCeed,225.0,2023,FY,1249.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Mini 5-dørs,223.0,2023,FY,1317.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
BYD Atto 3,222.0,2023,FY,1161.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Suzuki S-Cross,218.0,2023,FY,1269.0,Suzuki,Suzuki Motor Corporation,Japan,Benzin,Fossil,SUV/Crossover
Volvo V90,214.0,2023,FY,1220.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
MG Marvel R,208.0,2023,FY,1347.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Mitsubishi Space Star,206.0,2023,FY,1366.0,Mitsubishi,Mitsubishi Motors,Japan,Benzin,Fossil,Personbil
Peugeot 5008,205.0,2023,FY,1039.0,Peugeot,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Mercedes-Benz Vito Tourer,203.0,2023,FY,1092.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,Benzin,Fossil,Varebil/MPV
BYD Dolphin,203.0,2023,FY,1187.0,BYD,BYD Auto,Kina,Benzin,Fossil,Personbil
Citroen C5 Aircross,202.0,2023,FY,1032.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Hyundai Ioniq 6,198.0,2023,FY,1133.0,Hyundai,Hyundai Motor Group,Sydkorea,El,Nul-emission,Personbil
Citroen ë-C4 X,198.0,2023,FY,1372.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Volkswagen ID.7,197.0,2023,FY,1017.0,Volkswagen,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Volvo XC90,196.0,2023,FY,1276.0,Volvo,Geely (Lynk & Co),Kina,Benzin,Fossil,Personbil
Audi A1,191.0,2023,FY,1292.0,Audi,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
BMW 4'er,182.0,2023,FY,1185.0,BMW,BMW Group,Tyskland,Benzin,Fossil,Personbil
Aiways U5,178.0,2023,FY,1291.0,Aiways,Aiways,Kina,El,Nul-emission,Personbil
Mercedes-Benz EQC,173.0,2023,FY,1391.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Nissan X-Trail,172.0,2023,FY,1204.0,Nissan,Nissan Motor Co.,Japan,Hybrid,Lav-emission,Personbil
Kia Rio,170.0,2023,FY,1406.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
Mini 3-dørs,168.0,2023,FY,1083.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
Mini Cabriolet,161.0,2023,FY,1370.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
Porsche Taycan,159.0,2023,FY,1175.0,Porsche,Volkswagen Group,Tyskland,El,Nul-emission,Personbil
Citroen C4 X,158.0,2023,FY,1368.0,Citroen,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Mitsubishi Eclipse Cross,152.0,2023,FY,1361.0,Mitsubishi,Mitsubishi Motors,Japan,Benzin,Fossil,SUV/Crossover
BMW X5,151.0,2023,FY,1186.0,BMW,BMW Group,Tyskland,Benzin,Fossil,SUV/Crossover
Opel Grandland,149.0,2023,FY,1072.0,Opel,Stellantis,Europæisk (Multinational),Benzin,Fossil,SUV/Crossover
Kia Stonic,145.0,2023,FY,1248.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
MG ZS,144.0,2023,FY,1040.0,MG,SAIC Motor (MG),Kina,Benzin,Fossil,Personbil
Honda Jazz,134.0,2023,FY,1150.0,Honda,Honda Motor Co.,Japan,Benzin,Fossil,Personbil
Lexus NX,129.0,2023,FY,1252.0,Lexus,Toyota Motor Corporation,Japan,Hybrid,Lav-emission,Personbil
Mazda MX-5,126.0,2023,FY,1346.0,Mazda,Mazda Motor Corporation,Japan,Benzin,Fossil,Personbil
Jeep Compass,120.0,2023,FY,1439.0,Jeep,Stellantis,Europæisk (Multinational),Benzin,Fossil,Personbil
Toyota Proace Verso,115.0,2023,FY,1135.0,Toyota,Toyota Motor Corporation,Japan,Benzin,Fossil,Varebil/MPV
Tesla Model S,113.0,2023,FY,1213.0,Tesla,"Tesla, Inc.",USA,El,Nul-emission,Personbil
Mini Countryman,110.0,2023,FY,1102.0,Mini,BMW Group,Tyskland,Benzin,Fossil,Personbil
Ford Transit,109.0,2023,FY,1091.0,Ford,Ford Motor Company,USA,Benzin,Fossil,Varebil/MPV
Renault Arkana,106.0,2023,FY,1392.0,Renault,Renault Group,Frankrig,Benzin,Fossil,Personbil
Dacia Spring,103.0,2023,FY,1399.0,Dacia,Renault Group,Frankrig,Benzin,Fossil,Personbil
MAN TGE,100.0,2023,FY,1197.0,MAN,TRATON (Volkswagen Group),Tyskland,Benzin,Fossil,Varebil/MPV
Volkswagen Caddy,96.0,2023,FY,1216.0,Volkswagen,Volkswagen Group,Tyskland,Benzin,Fossil,Varebil/MPV
Seat Ateca,95.0,2023,FY,1325.0,Seat,Volkswagen Group,Tyskland,Benzin,Fossil,Personbil
Nissan Leaf,93.0,2023,FY,1318.0,Nissan,Nissan Motor Co.,Japan,Benzin,Fossil,Personbil
Mercedes-Benz EQV,93.0,2023,FY,1155.0,Mercedes-Benz,Mercedes-Benz Group,Tyskland,El,Nul-emission,Personbil
Kia EV9,93.0,2023,FY,1058.0,Kia,Hyundai Motor Group,Sydkorea,Benzin,Fossil,Personbil
